transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,total_amount,discount_applied,payment_method,shipping_cost,tax_amount,order_status,return_flag
TXN_00000052,CUST_000718,PROD_00249,2023-08-14,2,108.76,230.22,0.02,Bank Transfer,0.0,17.05,Pending,False
TXN_00000053,CUST_001456,PROD_00059,2025-06-26,1,99.29,105.91,0.07,Debit Card,6.18,7.39,Shipped,False
TXN_00000054,CUST_000367,PROD_00424,2023-08-29,5,218.77,1169.54,0.01,PayPal,0.0,86.63,Pending,False
TXN_00000055,CUST_000580,PROD_00541,2024-09-22,6,149.35,880.69,0.09,Debit Card,0.0,65.24,Completed,False
TXN_00000056,CUST_001351,PROD_00320,2024-10-27,9,152.97,1442.26,0.03,Debit Card,0.0,106.83,Completed,False
TXN_00000057,CUST_001498,PROD_00123,2024-12-02,8,409.01,2579.71,0.27,Debit Card,0.0,191.09,Completed,False
TXN_00000058,CUST_000873,PROD_00808,2023-09-29,8,368.87,3155.17,0.01,Credit Card,0.0,233.72,Completed,False
TXN_00000059,CUST_000580,PROD_00993,2024-06-22,7,263.11,1869.76,0.06,Debit Card,0.0,138.5,Completed,False
TXN_00000060,CUST_001436,PROD_00016,2024-04-22,1,382.72,293.47,0.29,Credit Card,0.0,21.74,Completed,False
TXN_00000061,CUST_001151,PROD_00270,2025-01-09,7,11.78,78.87,0.16,Credit Card,4.06,5.54,Completed,False
TXN_00000062,CUST_000225,PROD_00124,2023-09-25,3,395.56,999.66,0.22,Bank Transfer,0.0,74.05,Completed,False
TXN_00000063,CUST_000865,PROD_00959,2025-06-03,2,414.13,679.84,0.24,Credit Card,0.0,50.36,Completed,False
TXN_00000064,CUST_001316,PROD_00595,2024-08-08,9,72.18,694.57,0.01,Bank Transfer,0.0,51.45,Completed,False
TXN_00000065,CUST_001170,PROD_00145,2023-10-30,2,48.23,102.81,0.13,Debit Card,12.18,6.71,Completed,False
TXN_00000066,CUST_001178,PROD_00853,2024-04-06,6,104.31,615.09,0.09,Debit Card,0.0,45.56,Completed,False
TXN_00000067,CUST_001049,PROD_00861,2024-12-29,7,280.79,1507.17,0.29,PayPal,0.0,111.64,Completed,False
TXN_00000068,CUST_001204,PROD_00062,2023-08-08,1,365.41,394.64,0.0,Debit Card,0.0,29.23,Completed,False
TXN_00000069,CUST_001286,PROD_00915,2024-05-01,3,43.06,97.66,0.3,Debit Card,0.0,7.23,Completed,False
TXN_00000070,CUST_000839,PROD_00330,2023-07-23,9,291.94,2383.64,0.16,Credit Card,0.0,176.57,Shipped,False
TXN_00000071,CUST_000524,PROD_00309,2024-12-30,3,231.68,630.54,0.16,Debit Card,0.0,46.71,Completed,False
TXN_00000072,CUST_000717,PROD_00806,2023-10-11,2,490.17,878.77,0.17,Debit Card,0.0,65.09,Completed,False
TXN_00000073,CUST_000025,PROD_00810,2024-07-08,1,309.01,240.29,0.28,Credit Card,0.0,17.8,Completed,False
TXN_00000074,CUST_000869,PROD_00098,2025-03-22,5,319.16,1258.12,0.27,Credit Card,0.0,93.19,Shipped,False
TXN_00000075,CUST_001124,PROD_00222,2023-10-25,9,108.42,790.38,0.25,Credit Card,0.0,58.55,Completed,False
TXN_00000076,CUST_000588,PROD_00192,2025-05-16,3,490.97,1447.58,0.09,Debit Card,0.0,107.23,Completed,False
TXN_00000077,CUST_001134,PROD_00466,2025-05-26,4,446.52,1871.1,0.03,PayPal,0.0,138.6,Completed,False
TXN_00000078,CUST_000342,PROD_00929,2025-03-27,3,192.57,567.78,0.09,Credit Card,0.0,42.06,Pending,True
TXN_00000079,CUST_000923,PROD_00331,2024-04-23,4,416.69,1620.09,0.1,Credit Card,0.0,120.01,Pending,False
TXN_00000080,CUST_000138,PROD_00451,2023-12-09,3,496.22,1286.2,0.2,Debit Card,0.0,95.27,Completed,False
TXN_00000081,CUST_000668,PROD_00204,2024-05-06,7,63.62,423.25,0.12,PayPal,0.0,31.35,Pending,False
TXN_00000082,CUST_000656,PROD_00761,2023-11-24,6,377.42,2250.03,0.08,Debit Card,0.0,166.67,Completed,False
TXN_00000083,CUST_001161,PROD_00130,2024-10-14,6,128.05,771.68,0.07,Credit Card,0.0,57.16,Cancelled,False
TXN_00000084,CUST_000854,PROD_00980,2024-02-29,6,392.02,2184.65,0.14,Credit Card,0.0,161.83,Pending,False
TXN_00000085,CUST_000223,PROD_00602,2025-04-28,4,341.82,1388.06,0.06,Debit Card,0.0,102.82,Pending,False
TXN_00000086,CUST_000707,PROD_00576,2025-03-02,2,313.32,487.27,0.28,PayPal,0.0,36.09,Completed,False
TXN_00000087,CUST_000205,PROD_00084,2024-07-18,5,174.14,761.69,0.19,Debit Card,0.0,56.42,Completed,False
TXN_00000088,CUST_001222,PROD_00055,2023-08-18,3,135.36,359.63,0.18,PayPal,0.0,26.64,Completed,False
TXN_00000089,CUST_001141,PROD_00192,2024-03-23,9,208.89,1725.85,0.15,PayPal,0.0,127.84,Completed,False
TXN_00000090,CUST_001373,PROD_00077,2024-01-25,5,331.89,1415.85,0.21,Debit Card,0.0,104.88,Completed,False
TXN_00000091,CUST_001098,PROD_00224,2025-06-03,5,228.39,900.31,0.27,Credit Card,0.0,66.69,Completed,False
TXN_00000092,CUST_001068,PROD_00637,2025-01-14,9,208.84,1705.14,0.16,PayPal,0.0,126.31,Completed,False
TXN_00000093,CUST_000106,PROD_00776,2023-11-29,3,270.99,632.17,0.28,Debit Card,0.0,46.83,Completed,False
TXN_00000094,CUST_000174,PROD_00871,2025-02-26,6,259.62,1581.4,0.06,Debit Card,0.0,117.14,Shipped,False
TXN_00000095,CUST_000625,PROD_00222,2025-05-18,7,340.25,2006.38,0.22,Debit Card,0.0,148.62,Completed,False
TXN_00000096,CUST_000521,PROD_00213,2023-12-19,7,203.24,1428.94,0.07,Debit Card,0.0,105.85,Completed,False
TXN_00000097,CUST_000947,PROD_00606,2023-07-24,8,202.56,1645.11,0.06,Debit Card,0.0,121.86,Pending,False
TXN_00000098,CUST_001165,PROD_00349,2024-09-01,4,405.27,1593.19,0.09,Debit Card,0.0,118.01,Completed,False
TXN_00000099,CUST_000729,PROD_00811,2024-04-18,4,299.64,1087.33,0.16,PayPal,0.0,80.54,Completed,True
TXN_00000100,CUST_000406,PROD_00723,2024-04-06,8,324.04,2603.73,0.07,PayPal,0.0,192.87,Completed,False
TXN_00000101,CUST_000444,PROD_00267,2025-04-26,1,186.06,158.75,0.21,PayPal,0.0,11.76,Completed,False
TXN_00000102,CUST_000672,PROD_00471,2025-06-28,3,431.13,1019.7,0.27,Bank Transfer,0.0,75.53,Completed,False
TXN_00000103,CUST_000832,PROD_00396,2023-10-01,5,419.93,2154.24,0.05,Bank Transfer,0.0,159.57,Pending,False
TXN_00000104,CUST_000513,PROD_00249,2024-05-17,8,197.5,1638.14,0.04,Debit Card,0.0,121.34,Completed,False
TXN_00000105,CUST_001081,PROD_00542,2024-09-03,8,17.64,111.26,0.27,Debit Card,0.0,8.24,Completed,False
TXN_00000106,CUST_000237,PROD_00845,2023-10-31,4,149.57,465.22,0.28,Credit Card,0.0,34.46,Pending,False
TXN_00000107,CUST_000849,PROD_00780,2024-05-25,8,176.19,1278.72,0.16,Bank Transfer,0.0,94.72,Pending,False
TXN_00000108,CUST_001209,PROD_00595,2024-06-11,3,492.05,1131.92,0.29,Credit Card,0.0,83.85,Shipped,False
TXN_00000109,CUST_000574,PROD_00717,2025-06-13,7,220.22,1315.25,0.21,Debit Card,0.0,97.43,Cancelled,False
TXN_00000110,CUST_000370,PROD_00722,2023-07-06,9,113.91,941.12,0.15,Debit Card,0.0,69.71,Completed,False
TXN_00000111,CUST_000011,PROD_00262,2024-01-27,7,348.35,1922.48,0.27,Credit Card,0.0,142.41,Completed,False
TXN_00000112,CUST_000655,PROD_00978,2024-05-08,8,234.37,1660.47,0.18,PayPal,0.0,123.0,Pending,False
TXN_00000113,CUST_001233,PROD_00396,2024-03-02,4,329.47,1380.61,0.03,Credit Card,0.0,102.27,Completed,False
TXN_00000114,CUST_000474,PROD_00178,2025-02-12,2,160.1,248.98,0.28,PayPal,0.0,18.44,Completed,False
TXN_00000115,CUST_000772,PROD_00994,2024-07-02,7,95.1,704.58,0.02,Debit Card,0.0,52.19,Completed,False
TXN_00000116,CUST_000474,PROD_00828,2024-09-21,8,402.27,2919.51,0.16,Bank Transfer,0.0,216.26,Completed,False
TXN_00000117,CUST_001074,PROD_00047,2024-10-13,8,325.57,2531.63,0.1,PayPal,0.0,187.53,Completed,False
TXN_00000118,CUST_000406,PROD_00524,2023-12-21,8,209.19,1698.96,0.06,Debit Card,0.0,125.85,Completed,False
TXN_00000119,CUST_001408,PROD_00892,2024-06-24,7,179.06,1286.01,0.05,Credit Card,0.0,95.26,Pending,False
TXN_00000120,CUST_000028,PROD_00449,2024-11-18,9,410.54,3072.64,0.23,Debit Card,0.0,227.6,Pending,False
TXN_00000121,CUST_000840,PROD_00428,2024-04-12,4,13.07,51.29,0.3,Debit Card,11.76,2.93,Completed,False
TXN_00000122,CUST_000700,PROD_00182,2023-09-01,4,248.48,880.21,0.18,Bank Transfer,0.0,65.2,Completed,False
TXN_00000123,CUST_001384,PROD_00027,2023-12-30,8,237.66,1683.77,0.18,PayPal,0.0,124.72,Completed,False
TXN_00000124,CUST_000756,PROD_00116,2024-12-19,5,476.58,2522.06,0.02,Debit Card,0.0,186.82,Shipped,False
TXN_00000125,CUST_000217,PROD_00650,2025-01-27,5,195.82,782.49,0.26,Debit Card,0.0,57.96,Completed,True
TXN_00000126,CUST_001072,PROD_00969,2024-08-18,4,430.39,1413.06,0.24,PayPal,0.0,104.67,Completed,False
TXN_00000127,CUST_001226,PROD_00735,2023-10-23,1,495.21,486.69,0.09,Credit Card,0.0,36.05,Completed,False
TXN_00000128,CUST_000405,PROD_00100,2024-04-16,1,211.52,214.74,0.06,Credit Card,0.0,15.91,Completed,False
TXN_00000129,CUST_000067,PROD_00078,2023-10-25,5,40.75,217.85,0.01,PayPal,0.0,16.14,Completed,False
TXN_00000130,CUST_000371,PROD_00950,2023-11-15,9,461.5,3588.62,0.2,Debit Card,0.0,265.82,Shipped,False
TXN_00000131,CUST_000495,PROD_00293,2024-11-10,4,482.86,2023.38,0.03,Credit Card,0.0,149.88,Completed,False
TXN_00000132,CUST_000899,PROD_00118,2023-08-17,2,28.43,58.08,0.13,Credit Card,4.65,3.96,Completed,False
TXN_00000133,CUST_000203,PROD_00144,2024-03-21,5,186.03,723.29,0.28,Debit Card,0.0,53.58,Completed,False
TXN_00000134,CUST_001062,PROD_00309,2023-07-24,7,193.2,1358.35,0.07,Credit Card,0.0,100.62,Completed,False
TXN_00000135,CUST_000968,PROD_00664,2023-09-18,1,61.2,66.96,0.12,PayPal,8.79,4.31,Completed,False
TXN_00000136,CUST_000491,PROD_00492,2024-12-13,6,326.6,1820.08,0.14,PayPal,0.0,134.82,Completed,False
TXN_00000137,CUST_000445,PROD_00847,2025-03-20,3,125.13,336.5,0.17,PayPal,0.0,24.93,Completed,False
TXN_00000138,CUST_000030,PROD_00485,2023-08-12,1,121.55,131.27,0.0,Credit Card,0.0,9.72,Completed,False
TXN_00000139,CUST_000286,PROD_00801,2024-09-27,1,54.24,74.51,0.14,Credit Card,24.13,3.73,Shipped,False
TXN_00000140,CUST_001178,PROD_00527,2025-04-24,9,147.77,1421.96,0.01,PayPal,0.0,105.33,Pending,False
TXN_00000141,CUST_001373,PROD_00189,2024-08-13,3,310.46,754.41,0.25,Bank Transfer,0.0,55.88,Shipped,False
TXN_00000142,CUST_001179,PROD_00545,2024-05-29,4,467.73,1495.24,0.26,Debit Card,0.0,110.76,Pending,False
TXN_00000143,CUST_000736,PROD_00125,2025-03-05,3,432.51,1135.08,0.19,Debit Card,0.0,84.08,Completed,False
TXN_00000144,CUST_000604,PROD_00056,2024-05-04,2,225.65,467.91,0.04,PayPal,0.0,34.66,Completed,False
TXN_00000145,CUST_000895,PROD_00813,2023-07-23,9,46.07,326.89,0.27,Credit Card,0.0,24.21,Completed,False
TXN_00000146,CUST_000191,PROD_00292,2024-12-05,2,372.78,781.05,0.03,Credit Card,0.0,57.86,Shipped,False
TXN_00000147,CUST_000467,PROD_00399,2024-11-08,9,463.46,4054.35,0.1,Credit Card,0.0,300.32,Pending,False
TXN_00000148,CUST_001100,PROD_00620,2024-08-12,2,133.11,281.77,0.02,Debit Card,0.0,20.87,Shipped,False
TXN_00000149,CUST_001095,PROD_00099,2024-04-11,3,278.07,774.81,0.14,Credit Card,0.0,57.39,Cancelled,False
TXN_00000150,CUST_000292,PROD_00264,2023-12-20,6,455.22,2743.34,0.07,Bank Transfer,0.0,203.21,Pending,False
TXN_00000151,CUST_000133,PROD_00597,2024-02-01,7,128.94,809.07,0.17,Credit Card,0.0,59.93,Completed,False
TXN_00000152,CUST_000381,PROD_00235,2023-12-02,2,267.3,525.41,0.09,Debit Card,0.0,38.92,Completed,False
TXN_00000153,CUST_000727,PROD_00741,2024-04-10,8,154.78,1163.45,0.13,Debit Card,0.0,86.18,Completed,False
TXN_00000154,CUST_000913,PROD_00988,2023-09-09,6,369.38,2345.71,0.02,Credit Card,0.0,173.76,Shipped,False
TXN_00000155,CUST_000742,PROD_00810,2023-09-04,7,399.78,2357.42,0.22,Credit Card,0.0,174.62,Shipped,False
TXN_00000156,CUST_000113,PROD_00048,2023-07-30,6,364.33,1676.21,0.29,Debit Card,0.0,124.16,Shipped,False
TXN_00000157,CUST_001049,PROD_00958,2023-12-09,4,10.47,40.01,0.22,Credit Card,4.73,2.61,Completed,False
TXN_00000158,CUST_000984,PROD_00549,2025-06-09,7,127.15,711.33,0.26,Credit Card,0.0,52.69,Completed,False
TXN_00000159,CUST_001361,PROD_00586,2024-12-07,3,242.36,636.04,0.19,Credit Card,0.0,47.11,Completed,False
TXN_00000160,CUST_000623,PROD_00095,2023-09-15,5,324.56,1314.47,0.25,Bank Transfer,0.0,97.37,Completed,False
TXN_00000161,CUST_001317,PROD_00547,2023-11-09,2,137.63,225.94,0.24,Credit Card,0.0,16.74,Shipped,False
TXN_00000162,CUST_001273,PROD_00986,2023-12-30,6,160.07,736.45,0.29,PayPal,0.0,54.55,Completed,False
TXN_00000163,CUST_001355,PROD_00165,2023-11-27,5,135.77,667.17,0.09,Debit Card,0.0,49.42,Completed,False
TXN_00000164,CUST_000660,PROD_00967,2024-12-26,9,221.59,1658.47,0.23,Debit Card,0.0,122.85,Completed,False
TXN_00000165,CUST_000474,PROD_00522,2025-03-06,9,490.61,4053.42,0.15,PayPal,0.0,300.25,Shipped,False
TXN_00000166,CUST_001202,PROD_00822,2024-02-10,6,395.14,2458.09,0.04,PayPal,0.0,182.08,Completed,False
TXN_00000167,CUST_000102,PROD_00839,2025-03-26,1,371.39,377.04,0.06,PayPal,0.0,27.93,Completed,False
TXN_00000168,CUST_000117,PROD_00380,2024-07-26,5,71.87,314.36,0.19,PayPal,0.0,23.29,Completed,False
TXN_00000169,CUST_000070,PROD_00711,2024-07-19,5,58.17,314.12,0.0,PayPal,0.0,23.27,Pending,False
TXN_00000170,CUST_000663,PROD_00787,2024-08-16,4,490.48,1758.66,0.17,PayPal,0.0,130.27,Completed,False
TXN_00000171,CUST_000561,PROD_00238,2023-10-16,3,372.42,892.91,0.26,Credit Card,0.0,66.14,Completed,False
TXN_00000172,CUST_000354,PROD_00159,2024-08-04,8,283.61,1739.77,0.29,Debit Card,0.0,128.87,Completed,False
TXN_00000173,CUST_000457,PROD_00470,2024-02-06,8,189.63,1376.26,0.16,Bank Transfer,0.0,101.95,Completed,False
TXN_00000174,CUST_000561,PROD_00946,2023-12-22,8,432.08,3322.52,0.11,PayPal,0.0,246.11,Completed,False
TXN_00000175,CUST_000574,PROD_00456,2024-10-04,7,111.05,780.77,0.07,Debit Card,0.0,57.83,Pending,False
TXN_00000176,CUST_000384,PROD_00637,2024-06-23,1,370.86,316.42,0.21,Credit Card,0.0,23.44,Completed,False
TXN_00000177,CUST_000572,PROD_00525,2025-01-20,8,495.66,3854.25,0.1,PayPal,0.0,285.5,Completed,False
TXN_00000178,CUST_001036,PROD_00875,2024-12-15,8,87.41,619.28,0.18,Debit Card,0.0,45.87,Cancelled,False
TXN_00000179,CUST_000619,PROD_00390,2024-11-18,5,347.82,1746.75,0.07,Debit Card,0.0,129.39,Completed,False
TXN_00000180,CUST_000169,PROD_00249,2023-10-17,2,265.52,539.11,0.06,Debit Card,0.0,39.93,Completed,False
TXN_00000181,CUST_000778,PROD_00456,2024-10-23,9,246.12,1818.14,0.24,Debit Card,0.0,134.68,Completed,False
TXN_00000182,CUST_000851,PROD_00969,2025-05-21,7,96.68,584.72,0.2,Credit Card,0.0,43.31,Shipped,True
TXN_00000183,CUST_001340,PROD_00318,2024-10-16,7,420.67,2671.42,0.16,Credit Card,0.0,197.88,Completed,False
TXN_00000184,CUST_000854,PROD_00714,2024-09-20,7,375.09,2778.97,0.02,Credit Card,0.0,205.85,Cancelled,False
TXN_00000185,CUST_001263,PROD_00995,2024-12-18,6,423.13,2549.96,0.07,PayPal,0.0,188.89,Completed,False
TXN_00000186,CUST_000838,PROD_00872,2023-10-22,8,119.27,752.26,0.27,Debit Card,0.0,55.72,Completed,False
TXN_00000187,CUST_000714,PROD_00742,2025-01-07,4,253.63,1029.94,0.06,Debit Card,0.0,76.29,Completed,False
TXN_00000188,CUST_000892,PROD_00450,2024-09-28,4,407.52,1514.02,0.14,PayPal,0.0,112.15,Pending,False
TXN_00000189,CUST_000478,PROD_00726,2025-05-18,5,165.86,707.56,0.21,Debit Card,0.0,52.41,Completed,False
TXN_00000190,CUST_000001,PROD_00210,2024-10-09,5,401.79,1931.01,0.11,PayPal,0.0,143.04,Completed,False
TXN_00000191,CUST_001495,PROD_00009,2025-03-05,2,93.44,161.46,0.2,Debit Card,0.0,11.96,Completed,False
TXN_00000192,CUST_000881,PROD_00248,2023-07-06,4,203.66,756.64,0.14,Credit Card,0.0,56.05,Completed,False
TXN_00000193,CUST_001397,PROD_00289,2023-11-15,4,328.8,1349.4,0.05,Credit Card,0.0,99.96,Completed,False
TXN_00000194,CUST_001368,PROD_00405,2023-10-28,1,191.03,171.23,0.17,PayPal,0.0,12.68,Cancelled,False
TXN_00000195,CUST_001157,PROD_00467,2023-07-12,2,47.32,115.09,0.03,PayPal,15.95,7.34,Completed,False
TXN_00000196,CUST_001262,PROD_00188,2025-04-03,7,287.94,1545.54,0.29,Debit Card,0.0,114.48,Completed,False
TXN_00000197,CUST_000543,PROD_00694,2024-05-19,4,172.47,700.37,0.06,PayPal,0.0,51.88,Shipped,False
TXN_00000198,CUST_001365,PROD_00750,2024-05-05,2,35.42,75.92,0.16,Debit Card,11.65,4.76,Completed,False
TXN_00000199,CUST_000907,PROD_00515,2024-03-18,5,264.27,1113.1,0.22,Debit Card,0.0,82.45,Completed,False
TXN_00000200,CUST_000774,PROD_00946,2024-07-20,6,344.26,1896.19,0.15,Credit Card,0.0,140.46,Completed,False
TXN_00000201,CUST_000832,PROD_00273,2025-06-18,1,210.19,222.47,0.02,PayPal,0.0,16.48,Completed,False
TXN_00000202,CUST_000133,PROD_00219,2023-11-01,4,284.75,934.89,0.24,Credit Card,0.0,69.25,Cancelled,False
TXN_00000203,CUST_000308,PROD_00111,2024-02-25,8,128.53,855.08,0.23,Debit Card,0.0,63.34,Completed,False
TXN_00000204,CUST_000116,PROD_00924,2024-09-28,8,143.16,1076.1,0.13,Debit Card,0.0,79.71,Shipped,False
TXN_00000205,CUST_000265,PROD_00577,2024-04-21,4,100.2,424.2,0.02,Credit Card,0.0,31.42,Cancelled,False
TXN_00000206,CUST_000858,PROD_00674,2025-04-26,8,302.43,2221.04,0.15,Debit Card,0.0,164.52,Cancelled,False
TXN_00000207,CUST_000290,PROD_00915,2024-05-12,4,47.25,183.71,0.1,PayPal,0.0,13.61,Shipped,False
TXN_00000208,CUST_001243,PROD_00973,2023-07-09,6,431.15,2542.41,0.09,Credit Card,0.0,188.33,Pending,False
TXN_00000209,CUST_000724,PROD_00735,2023-08-13,3,467.04,1089.51,0.28,Bank Transfer,0.0,80.7,Completed,False
TXN_00000210,CUST_001176,PROD_00046,2023-12-25,3,369.35,969.32,0.19,Debit Card,0.0,71.8,Completed,False
TXN_00000211,CUST_000452,PROD_00571,2023-12-28,1,377.06,378.72,0.07,Credit Card,0.0,28.05,Cancelled,False
TXN_00000212,CUST_001463,PROD_00177,2024-11-17,2,83.38,162.09,0.1,Debit Card,0.0,12.01,Completed,False
TXN_00000213,CUST_000385,PROD_00778,2023-11-01,6,234.81,1384.63,0.09,Debit Card,0.0,102.57,Completed,True
TXN_00000214,CUST_001331,PROD_00546,2023-08-10,9,489.0,3707.4,0.22,Debit Card,0.0,274.62,Shipped,False
TXN_00000215,CUST_000220,PROD_00856,2024-09-01,4,486.59,1849.82,0.12,Debit Card,0.0,137.02,Cancelled,False
TXN_00000216,CUST_001496,PROD_00590,2023-09-15,7,99.25,600.26,0.2,Bank Transfer,0.0,44.46,Pending,False
TXN_00000217,CUST_000908,PROD_00297,2024-07-01,6,330.13,1647.22,0.23,Credit Card,0.0,122.02,Completed,False
